"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type"
"g186470-d6948927","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', ""Cameron's Cafe & Deli""]","Cameron's Cafe & Deli","Claimed",3.5,"May 14, 2023","148 Ballylesson Road, Belfast BT8 8JU Northern Ireland",54.53256,-5.952118,"#53 of 172 Quick Bites in Belfast","#53 of 172 Quick Bites in Belfast",105,0,0,,"Cafe, British","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible","True","True","http://www.cameronlandscapes.com",45,40,40,35,43,20,14,12,16,"English (105)","g186470-d6948927","in rating","$$ - $$$","Quick Bites, Cafe, British",105,0,105,"Quick Bites"
"g186470-d6953254","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Maple Moose Belfast']","Maple Moose Belfast","Unclaimed",2.5,"November 19, 2020","39 Stewartstown Road, Belfast BT11 9FZ Northern Ireland",54.570972,-6.004047,"#139 of 172 Quick Bites in Belfast","#139 of 172 Quick Bites in Belfast",19,0,0,,"Cafe",,,"Takeout, Seating, Wheelchair Accessible","False","True",,,,,,4,2,2,2,9,"English (19)","g186470-d6953254","in rating","$$ - $$$","Dessert, Cafe",19,0,19,"Quick Bites"
"g186470-d6959186","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'The Hoose Bistro']","The Hoose Bistro","Claimed",4.5,"September 30, 2023","52 Upper Newtownards Road, Belfast BT4 3EL Northern Ireland",54.597412,-5.886278,"#12 of 689 Restaurants in Belfast","#12 of 689 Restaurants in Belfast",440,0,0,,"Irish, European, British","Dinner, Drinks, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Street Parking, Free off-street parking, Highchairs Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards, Table Service, Wine and Beer, Gift Cards Available","True","True","http://www.thehoosebistro.com/",45,50,45,50,354,52,17,10,7,"English (439), Spanish (1)","g186470-d6959186","in rating","$$ - $$$","Irish, European, British",439,1,439,"Restaurants"
"g186470-d6975949","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Poppo Goblin']","Poppo Goblin","Unclaimed",4.5,"June 17, 2023","23A Alfred Street, Belfast BT2 8ED Northern Ireland",54.59391,-5.927435,"#184 of 689 Restaurants in Belfast","#184 of 689 Restaurants in Belfast",65,0,0,,"Contemporary, Healthy, Cafe, British, Irish","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating","False","False","http://poppogoblin.com",45,45,45,,49,9,4,2,1,"English (61), Dutch (1), Italian (2), Portuguese (1)","g186470-d6975949","in rating","$$ - $$$","Irish, Cafe, British",61,4,61,"Restaurants"
"g186470-d698043","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'apartment']","apartment","Claimed",3.5,"August 5, 2021","2 Donegall Square West, Belfast BT1 6JA Northern Ireland",54.596848,-5.931435,"#297 of 689 Restaurants in Belfast","#154 of 272 British in Belfast",539,0,0,"₪39 - ₪97","Bar, European, British, Pub, Wine Bar, Asian, Grill","Lunch, Dinner, Late Night, Drinks",,"Television, Full Bar, Reservations, Buffet, Seating, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Highchairs Available, Live Music","False","True","http://www.hellcat-maggies.com/",35,35,35,35,152,138,107,68,74,"Polish (1), English (538)","g186470-d698043","in rating","$$ - $$$","Bar, European, Asian",538,1,538,"Restaurants"
"g186470-d698183","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Neills Hill Brasserie']","Neills Hill Brasserie","Claimed",4,"August 13, 2023","229 Upper Newtownards Road, Belfast BT4 3JF Northern Ireland",54.595192,-5.868536,"#64 of 689 Restaurants in Belfast","#64 of 689 Restaurants in Belfast",643,0,0,,"Irish, European, British","Breakfast, Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service","True","True","http://www.neillshill.com/",40,40,40,40,312,181,86,35,29,"French (1), Spanish (1), English (641)","g186470-d698183","in rating","$$ - $$$","Irish, European, British",641,2,641,"Restaurants"
"g186470-d6985539","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Blu Restaurant']","Blu Restaurant","Claimed",4.5,"October 14, 2023","13 Rosemary Street, Belfast BT1 1QA Northern Ireland",54.60043,-5.928824,"#13 of 689 Restaurants in Belfast","#13 of 689 Restaurants in Belfast",719,1,0,"₪14 - ₪121","European, British","Breakfast, Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Reservations, Accepts Credit Cards, Table Service, Wine and Beer","True","True","https://linktr.ee/blurestaurant",50,50,45,45,595,74,22,13,15,"English (704), Italian (3), Danish (1), German (1), French (4), Turkish (1), Swedish (1), Portuguese (1), Spanish (2), Russian (1)","g186470-d6985539","in rating","$$ - $$$","European, British, Vegetarian Friendly",704,15,704,"Restaurants"
"g186470-d6994598","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Cafe Arirang']","Cafe Arirang","Unclaimed",4,"July 14, 2023","32 Botanic Avenue, Belfast BT7 1JQ Northern Ireland",54.588886,-5.933381,"#398 of 689 Restaurants in Belfast","#146 of 244 Cafe in Belfast",36,0,0,,"Cafe, Asian, Korean","Lunch, Dinner","Vegetarian Friendly, Vegan Options","Takeout, Seating","False","True",,45,40,45,,15,9,6,2,4,"Korean (1), English (35)","g186470-d6994598","in rating","$","Cafe, Asian, Korean",35,1,35,"Restaurants"
"g186470-d7003233","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Tale of Spice']","Tale of Spice","Claimed",4.5,"August 20, 2023","Omni Park Old Dundonald Road 2B Eastpoint Entertainment Village, Belfast BT16 1YG Northern Ireland",54.589375,-5.82235,"#20 of 689 Restaurants in Belfast","#20 of 689 Restaurants in Belfast",449,0,0,"₪58 - ₪97","Indian","Dinner","Gluten Free Options","Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Takeout, Reservations, Free off-street parking, Full Bar, Wine and Beer, Accepts American Express, Accepts Credit Cards, Table Service","True","True","http://www.taleofspicedundonald.com",45,45,45,45,370,47,14,8,10,"German (1), English (448)","g186470-d7003233","in rating","$$ - $$$","Indian, Gluten Free Options",448,1,448,"Restaurants"
"g186470-d7040066","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Toast']","Toast","Claimed",4.5,"March 5, 2023","350 Cregagh Road, Belfast BT6 9EY Northern Ireland",54.57204,-5.894195,"#211 of 689 Restaurants in Belfast","#211 of 689 Restaurants in Belfast",46,0,0,,"Cafe, British","Breakfast, Lunch, Brunch, Drinks","Vegetarian Friendly","Takeout, Seating, Highchairs Available, Table Service, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts Credit Cards, Gift Cards Available","True","True","https://www.facebook.com/toastcafebelfast/",50,50,45,,33,10,2,0,1,"English (46)","g186470-d7040066","in rating","$$ - $$$","Cafe, British, Vegetarian Friendly",46,0,46,"Restaurants"
